annee;numero_de_l_etablissement;etablissement;code_de_l_academie;academie;code_du_domaine;domaine;code_de_la_discipline;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile;cle_etab;cle_disc
2011;0660437S;Perpignan;A11;Montpellier;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;;17;58;10;ns;ns;ns;ns;ns;ns;36;13.7;1660;ns;ns;;;;Perpignan_30;disc03_30
2011;0660437S;Perpignan;A11;Montpellier;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;;14;70;7;ns;ns;ns;ns;ns;ns;36;13.7;1660;ns;ns;;;;Perpignan_30;disc11_30
2011;0660437S;Perpignan;A11;Montpellier;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;2;40;1;ns;ns;ns;ns;ns;ns;36;13.7;1660;ns;ns;;;;Perpignan_30;disc14_30
2011;0660437S;Perpignan;A11;Montpellier;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;2;67;1;ns;ns;ns;ns;ns;ns;36;13.7;1660;ns;ns;;;;Perpignan_30;disc16_30
2011;0660437S;Perpignan;A11;Montpellier;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;1;75;0;ns;ns;ns;ns;ns;ns;36;13.7;1660;ns;ns;;;;Perpignan_30;disc19_30
2011;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc16;Informatique;30 mois après le diplôme;;14;79;2;ns;ns;ns;ns;ns;ns;32;9.1;1690;ns;ns;;;;Poitiers_30;disc16_30
2011;0860856N;Poitiers;A13;Poitiers;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;42;72;5;90;89;76;97;1900;29600;32;9.1;1690;65;86;24;;;Poitiers_30;disc17_30
2011;0860856N;Poitiers;A13;Poitiers;MEEF;Masters enseignement;disc19;Masters enseignement : premier degré;30 mois après le diplôme;;111;72;13;95;88;80;91;1650;25700;32;9.1;1690;74;16;91;;;Poitiers_30;disc19_30
2011;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;385;78;64;91;87;84;99;2040;31800;24;8.5;1650;66;66;58;;;Rennes 1_30;disc01_30
2011;0350936C;Rennes 1;A14;Rennes;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;;5;75;1;ns;ns;ns;ns;ns;ns;24;8.5;1650;ns;ns;;;;Rennes 1_30;disc07_30
